id,class,cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-root,stem-surface,stem-color,veil-type,veil-color,has-ring,ring-type,spore-print-color,habitat,season
2293,e,3.65,s,,y,f,f,f,f,6.53,7.29,,,y,,,f,f,,d,a
2294,p,8.81,x,,n,t,x,,u,8.87,20.41,s,,u,,u,f,f,,d,a
2295,e,3.84,f,d,n,t,d,c,p,4.75,6.95,,,n,,,f,f,,d,u
2296,p,4.92,s,k,n,f,p,,n,3.0,4.37,,k,n,,,t,f,,d,u
2297,e,4.75,f,y,g,f,s,,w,4.48,6.85,,,w,,,f,f,,d,u
2298,p,0.94,b,t,n,f,,c,g,2.98,2.42,,,n,,,t,f,,m,u
2299,p,1.48,x,t,y,f,a,,y,7.27,3.16,,t,y,,,f,f,,d,u
2300,p,3.89,f,k,n,f,s,,p,4.16,3.26,,,n,,,f,f,p,g,u
2301,e,4.51,x,,w,f,x,c,w,8.02,8.57,b,,n,,w,t,,,g,a
2302,p,16.12,x,h,o,f,e,,w,17.89,18.67,s,y,w,u,w,t,g,,d,u
2303,p,6.37,b,y,n,f,,,w,10.17,13.54,,s,w,,,t,z,,g,u
2304,p,3.59,b,i,k,f,e,,k,5.98,6.66,,,y,,,f,f,,g,u
2305,e,7.86,s,,n,f,,,w,3.8,18.3,,,n,,,f,f,,d,u
2306,p,1.37,b,h,n,f,a,,n,4.51,1.47,,t,n,,,f,f,,h,u
2307,e,12.0,s,,w,t,d,c,p,5.88,23.14,,,w,,,f,f,,d,u
2308,e,9.11,f,e,b,f,,c,b,4.71,18.79,,,w,,,t,f,,d,a
2309,e,5.51,p,,n,f,f,f,f,6.41,21.65,,,n,,,f,f,,l,a
2310,p,1.55,o,k,n,f,,,n,3.89,1.4,,,n,,,f,f,,d,w
2311,p,12.61,x,,g,f,e,,w,11.06,14.56,,,w,u,w,t,g,,d,u
2312,e,6.27,x,h,n,f,a,d,n,6.06,4.61,,t,w,,,t,l,,d,w
2313,p,6.71,x,t,n,f,s,,n,4.37,6.41,,y,n,,,f,f,,d,w
2314,p,7.82,x,w,p,f,s,c,p,4.42,9.79,,,p,,,f,f,,d,w
2315,p,3.04,s,d,w,f,d,d,w,3.8,2.42,,h,w,,,f,f,,g,a
2316,p,0.74,x,g,n,f,a,,n,4.08,1.15,,t,k,,,f,f,,d,u
2317,p,3.56,x,t,n,f,s,c,n,5.26,6.85,,,w,,n,t,z,,d,a
2318,p,14.02,x,,g,f,e,,w,11.79,18.23,,,w,u,w,t,g,,d,a
2319,e,5.43,x,,w,f,x,c,p,8.25,10.28,b,,n,,w,t,,,d,s
2320,p,12.37,f,t,k,t,d,c,n,4.88,25.54,,,n,,,f,f,,l,a
2321,e,10.48,x,h,n,t,p,,y,8.46,25.72,,,n,,,f,f,,d,a
2322,e,12.56,f,,g,f,d,c,y,2.57,14.55,,,w,,,f,f,,d,w
2323,p,3.1,f,w,y,f,a,,r,4.53,6.47,,t,y,,,f,f,,m,a
2324,e,1.58,c,g,n,f,a,,w,5.01,1.59,,,g,,,f,f,,l,a
2325,p,3.01,b,,k,f,a,,n,9.3,2.6,,,g,,w,f,f,k,g,u
2326,p,7.68,x,y,w,t,,,g,6.99,14.14,s,,w,,,t,l,,d,u
2327,p,0.58,x,s,o,f,,,y,3.62,0.76,,,y,,,f,f,,d,a
2328,p,5.02,x,,p,f,,c,r,3.59,12.74,,,y,,,f,f,,d,u
2329,p,6.68,x,s,n,f,s,,g,6.19,9.46,,y,n,,,f,f,,d,a
2330,e,3.32,b,g,w,f,x,d,w,4.74,2.84,,,y,,,f,f,,g,a
2331,p,8.12,b,y,w,f,,,k,11.05,17.48,,,w,,,f,f,,d,a
2332,e,6.07,s,,n,f,d,c,w,4.5,7.41,,s,w,,,f,f,,d,a
2333,e,4.02,x,,w,f,x,c,w,7.74,6.92,b,,w,,w,t,,,g,s
2334,p,1.5,x,g,y,f,d,d,n,2.16,2.7,,s,n,,,f,f,,h,u
2335,p,3.26,s,d,w,f,d,d,p,4.55,2.75,,h,w,,,f,f,,g,u
2336,p,1.89,x,i,l,f,a,,w,3.53,2.41,,,w,,,f,f,p,g,a
2337,e,11.6,x,e,l,f,x,c,w,7.03,21.22,,,w,,,f,f,,d,u
2338,e,1.66,f,w,n,f,,d,k,4.96,2.54,,,w,,,f,f,,g,u
2339,p,7.1,x,w,p,f,s,c,p,4.39,10.76,,s,p,,,f,f,,d,w
2340,e,6.54,f,s,o,f,d,d,o,5.85,12.51,,,w,,,f,f,,d,w
2341,p,1.54,b,h,n,f,a,,n,4.8,1.51,,t,n,,,f,f,,g,u
2342,p,3.49,x,y,n,f,a,,w,5.67,3.53,,y,y,,,t,r,,h,a
2343,p,9.34,f,h,r,f,,c,w,10.87,15.4,,,w,u,w,t,p,,d,u
2344,p,0.71,x,,o,f,d,,o,4.54,0.97,,,y,,,f,f,w,g,a
2345,e,9.67,x,,g,f,d,c,w,2.23,14.33,,,w,,,f,f,,d,w
2346,e,3.04,x,s,p,f,a,c,e,4.01,6.48,,,o,,,f,f,,g,a
2347,p,7.26,s,d,e,f,d,c,o,4.21,7.32,,,o,,,f,f,,h,a
2348,e,4.04,b,g,w,f,x,d,w,4.99,3.08,,,y,,,f,f,,g,u
2349,e,6.09,x,,y,f,e,,w,6.23,13.5,b,,y,u,y,t,g,,d,u
2350,e,13.99,s,e,g,f,d,c,w,8.38,25.83,s,,w,,,f,f,,l,a
2351,p,8.52,f,l,n,f,x,d,y,5.84,10.83,,,n,,,f,f,,l,a
2352,p,5.65,f,k,n,f,d,c,n,5.77,6.42,,i,y,,,t,,,d,a
2353,e,14.57,x,y,n,t,e,,w,9.54,16.85,,,w,,,t,,,g,a
2354,p,6.2,c,e,y,t,x,c,y,7.47,12.07,,,w,,,f,f,,d,a
2355,p,8.78,s,,o,t,d,,o,5.12,12.71,,,w,,,t,f,,d,u
2356,p,3.78,f,t,n,f,x,c,p,4.58,3.75,,i,g,,,f,f,,g,a
2357,p,1.42,b,h,n,f,a,,n,4.94,1.66,,t,n,,,f,f,,h,u
2358,e,4.5,x,h,n,f,x,c,n,4.71,5.43,,y,n,,,t,r,,d,a
2359,e,3.19,f,s,w,f,d,d,w,3.59,6.41,,,w,,,f,f,,g,a
2360,e,16.16,s,s,k,f,a,d,k,6.6,21.77,,,w,,,f,f,w,d,a
2361,e,8.07,f,g,o,f,s,,n,8.64,12.52,,t,n,,,f,f,,d,a
2362,p,2.96,o,,w,f,f,f,f,4.73,27.25,,g,w,,,t,f,,d,u
2363,e,11.27,s,t,p,t,d,c,o,7.25,17.35,,,w,,,f,f,,d,u
2364,e,5.97,x,h,n,f,p,d,w,6.26,11.94,,s,n,,,f,f,,g,u
2365,e,8.02,p,,n,f,a,,w,7.32,14.34,,,g,,,f,f,,g,a
2366,p,3.71,s,d,y,f,a,c,y,3.54,6.22,,,o,,,f,f,,h,u
2367,p,3.52,x,t,n,f,s,c,n,5.42,7.06,,,w,,n,t,z,,d,a
2368,e,6.37,s,l,w,f,d,,p,3.59,9.11,,,w,,,f,f,,d,u
2369,e,16.0,s,s,k,f,a,d,y,7.21,22.84,,,w,,,f,f,w,d,w
2370,p,7.46,f,y,y,f,s,c,y,6.54,16.3,,y,y,,,f,f,,d,a
2371,p,1.29,s,s,y,f,f,f,f,3.77,5.55,,,y,,,f,f,,d,u
2372,p,7.15,p,y,g,f,,,k,13.63,15.68,,s,w,,,t,z,,g,s
2373,e,6.95,x,d,y,t,p,,r,5.5,12.57,,,e,,,f,f,,d,u
2374,p,8.11,x,s,n,f,s,,g,5.6,8.11,,y,n,,,f,f,,d,a
2375,e,5.43,f,h,g,f,s,d,w,5.77,10.3,,s,g,,,f,f,,d,a
2376,e,7.64,p,s,w,f,e,c,n,7.16,13.04,,,w,,w,t,e,,g,u
2377,p,7.92,x,t,n,f,s,,g,5.63,7.1,,y,n,,,f,f,,d,a
2378,p,4.35,f,s,b,f,x,,w,5.33,7.3,,,w,,,f,f,,d,a
2379,p,4.17,f,y,n,f,e,c,n,4.92,3.74,,k,w,,,t,e,,d,a
2380,e,8.53,s,,y,f,a,c,w,5.65,14.43,,,w,,,f,f,,d,w
2381,e,6.52,x,,y,f,a,c,w,7.56,16.58,,,w,,,f,f,,d,u
2382,p,3.75,x,t,n,f,a,c,n,4.47,6.58,,y,n,,,t,z,,d,a
2383,e,5.76,x,s,y,f,a,d,w,8.53,14.62,,i,n,,,t,,w,d,w
2384,e,3.39,f,d,u,t,d,c,p,3.91,5.8,,,g,,,f,f,,d,a
2385,p,7.07,x,y,w,t,,,w,7.66,13.98,s,,w,,,t,l,,g,a
2386,p,8.17,s,t,r,t,d,,g,4.49,12.67,,t,r,,,f,f,,d,a
2387,p,3.14,f,k,w,f,s,,p,3.96,2.83,,,n,,,f,f,p,g,u
2388,p,1.56,b,h,n,f,a,,n,4.96,1.36,,t,n,,,f,f,,g,a
2389,p,2.12,f,t,y,f,,,n,8.31,3.2,,,y,,,f,f,,g,a
2390,e,3.27,x,d,o,f,a,c,o,4.54,6.17,,,e,,,f,f,,m,u
2391,e,3.34,x,t,n,f,d,,o,5.45,6.59,,t,w,,,f,f,,d,a
2392,e,6.11,x,l,w,f,d,,w,3.51,9.62,,,w,,,f,f,,g,a
2393,e,19.17,s,s,n,f,a,d,y,8.08,27.43,,,w,,,f,f,w,d,a
2394,p,6.14,s,d,e,t,d,c,w,6.7,8.43,,,e,,,f,f,,d,a
2395,p,6.08,x,g,n,f,e,,w,8.9,16.32,,y,w,u,w,t,p,,d,a
2396,e,14.45,f,e,g,f,a,c,w,8.3,26.95,s,,w,,,f,f,,d,a
2397,p,2.96,s,d,n,f,a,d,p,3.76,2.66,,,w,,,f,f,,g,u
2398,p,14.84,x,t,k,t,d,c,n,4.78,24.85,,,g,,,f,f,,l,a
2399,e,3.22,x,h,n,f,,c,n,6.58,6.9,,s,w,,w,f,f,k,d,a
2400,e,7.55,f,h,k,f,s,d,g,5.62,9.95,,s,g,,,f,f,,d,a
2401,p,2.67,s,w,n,t,d,c,y,3.26,5.41,,,n,,,f,f,,d,a
2402,p,3.45,o,,k,f,f,f,f,3.66,14.55,,g,n,,,f,f,,d,u
2403,e,7.21,x,d,y,t,p,,y,8.06,14.92,,,y,,,f,f,,d,a
2404,e,6.25,x,h,n,f,x,c,w,6.51,6.62,,s,n,,,t,r,,d,a
2405,p,7.52,f,t,e,f,x,d,w,5.71,17.77,b,,w,,,f,f,,d,u
2406,p,3.73,f,y,n,f,e,c,w,4.64,3.51,,k,w,,,t,e,,d,u
2407,p,5.66,f,d,n,t,d,c,w,6.62,10.52,,,e,,,f,f,,d,a
2408,p,7.17,x,w,n,f,x,,w,16.79,7.99,r,g,n,,,f,f,,d,u
2409,p,3.77,b,y,p,f,e,c,w,4.27,3.54,,k,w,,,t,e,,d,u
2410,p,2.54,o,,g,f,f,f,f,3.41,14.82,,g,n,,,f,f,,d,u
2411,e,8.25,s,t,w,t,d,c,o,5.38,16.87,,,w,,,f,f,,d,a
2412,e,6.58,x,s,w,f,e,c,p,4.15,12.78,,,w,,w,t,e,,g,a
2413,e,8.62,o,,n,f,,,w,3.64,19.8,,,n,,,f,f,,d,a
2414,e,7.02,f,s,w,f,s,c,w,7.22,31.95,,,w,,,f,f,,d,s
2415,e,7.86,x,d,y,t,p,,r,5.88,11.77,,,y,,,f,f,,d,a
2416,e,2.92,f,h,n,f,,c,k,5.73,6.08,,s,w,,,f,f,k,d,u
2417,p,3.88,f,k,n,f,s,,p,4.58,3.39,,,n,,,f,f,,d,a
2418,e,15.03,p,y,n,t,e,,w,9.07,16.99,,,w,,,t,,,d,a
2419,e,2.91,s,,y,f,f,f,f,5.54,6.43,,,o,,,f,f,,d,u
2420,e,7.34,x,y,n,f,e,c,w,6.16,9.78,,y,n,,,f,f,,d,a
2421,p,5.52,f,k,n,f,a,c,n,5.24,6.01,,i,n,,,t,,,d,u
2422,e,3.49,f,y,n,f,s,,w,3.93,6.71,,,w,,,f,f,,d,u
2423,e,1.42,f,w,n,f,,d,g,4.89,2.53,,,w,,,f,f,,g,u
2424,p,6.73,x,s,n,f,s,,n,5.6,7.3,,y,n,,,f,f,,d,a
2425,e,8.09,s,,n,f,s,c,u,6.15,14.4,,,u,,,f,f,,l,w
2426,e,7.86,s,l,w,f,d,,p,3.63,9.81,,,w,,,f,f,,d,a
2427,e,3.57,b,g,g,f,a,d,w,5.98,3.55,,s,g,,,f,f,,d,w
2428,e,6.81,x,,n,f,x,c,w,6.19,15.24,,s,w,,,f,f,,d,a
2429,e,8.85,x,,n,f,s,c,p,6.38,19.8,b,,u,,,f,f,,g,w
2430,p,0.82,b,t,n,f,,c,g,3.56,2.48,,,n,,,t,f,,m,a
2431,e,6.99,s,s,o,f,d,d,b,6.4,12.48,,,w,,,f,f,,m,a
2432,e,1.51,c,g,n,f,a,,w,4.67,1.41,,,g,,,f,f,,d,a
2433,e,5.09,x,y,n,f,s,,g,5.24,6.75,,,w,,,f,f,,d,a
2434,p,1.33,b,h,n,f,a,,n,4.43,1.65,,t,n,,,f,f,,d,a
2435,e,6.48,b,h,k,f,s,d,g,3.99,9.0,,s,g,,,f,f,,d,a
2436,e,3.41,b,g,n,f,x,d,w,6.07,3.34,,,y,,,f,f,,g,a
2437,p,3.33,b,t,p,f,a,,r,5.35,6.69,,t,y,,,f,f,,d,a
2438,e,13.06,x,y,n,f,,,w,6.63,26.24,b,,n,,w,t,e,,d,a
2439,p,3.11,o,,g,f,f,f,f,3.84,15.23,,g,g,,,f,f,,d,u
2440,p,1.84,b,g,y,f,,c,n,5.47,2.79,,,n,,,f,f,,m,s
2441,p,8.94,x,,n,f,p,,w,8.92,30.04,c,,n,,,f,f,p,d,u
2442,e,6.46,f,y,n,f,e,c,p,4.27,12.1,,,w,,,t,r,,w,u
2443,p,6.93,f,h,e,f,x,d,w,5.05,16.99,b,,w,,,f,f,,d,u
2444,e,10.59,x,,n,t,,,w,11.4,17.3,b,,w,u,w,t,l,,d,u
2445,p,3.75,f,t,n,f,x,c,p,5.99,4.43,,i,n,,,f,f,,m,a
2446,e,11.05,s,,w,t,d,c,w,6.52,26.37,,,w,,,f,f,,d,u
2447,p,4.18,b,s,n,f,,,n,9.48,8.1,,,w,,,t,,k,g,a
2448,p,2.49,b,y,n,f,e,c,w,4.16,3.33,,k,w,,,t,e,,m,a
2449,p,8.86,x,h,r,f,,c,w,11.04,14.73,,,w,u,w,t,p,,d,u
2450,e,7.83,x,t,y,t,x,c,y,8.07,16.88,,,w,,,f,f,,d,a
2451,e,9.26,x,s,y,f,a,d,w,11.01,16.75,,i,n,,,t,,w,d,w
2452,p,9.54,s,,w,t,d,c,w,4.74,24.26,,,w,,,f,f,,d,a
2453,e,49.56,o,y,y,f,p,,y,5.66,35.5,,k,k,,,f,f,,d,u
2454,e,14.21,s,e,g,f,d,c,w,7.68,24.88,s,,w,,,f,f,,d,w
2455,p,3.71,x,h,o,f,a,c,n,4.55,5.97,,y,n,,,t,z,,d,u
2456,p,2.76,f,w,o,t,d,c,n,3.3,5.74,,,n,,,f,f,,d,a
2457,p,1.49,x,g,y,f,d,d,n,1.69,2.37,,s,n,,,f,f,,h,u
2458,e,9.68,f,,u,f,s,c,u,8.25,20.49,,,u,,,f,f,,l,w
2459,e,8.33,s,,u,f,s,c,u,7.26,18.53,,,b,,,f,f,,l,w
2460,p,9.2,o,,n,f,f,f,f,3.28,25.2,,g,n,,,f,f,,d,u
2461,p,10.67,x,,u,t,x,,u,8.96,20.29,s,,g,,u,f,f,,d,a
2462,e,6.51,x,s,b,f,x,c,w,7.76,12.01,,s,n,,,f,f,,l,a
2463,p,12.31,f,,n,f,e,,w,10.54,15.85,,,w,u,w,t,e,,d,a
2464,p,2.33,b,,n,f,a,,g,4.6,2.23,,s,n,,,f,f,,d,u
2465,p,7.34,f,w,p,f,s,c,p,4.53,9.97,,,p,,,f,f,,d,a
2466,e,5.66,x,s,n,f,x,c,w,7.09,9.73,,s,n,,,f,f,,l,w
2467,e,4.18,x,s,o,f,p,,n,5.19,10.9,,,o,,,f,f,,d,w
2468,p,8.99,x,,u,t,x,,u,9.57,21.17,s,,g,,u,f,f,,d,a
2469,e,1.59,c,g,n,f,a,,g,5.36,1.61,,,g,,,f,f,,d,a
2470,e,8.47,f,t,e,f,x,d,w,5.77,18.0,b,,w,,,f,f,,d,u
2471,p,16.51,x,s,n,t,p,,e,9.12,33.23,c,,y,,,f,f,,d,a
2472,e,9.15,x,,n,t,,,w,12.27,19.85,b,,w,u,w,t,g,,d,u
2473,e,6.07,x,t,g,f,a,d,n,6.72,6.4,,t,g,,,t,l,,d,w
2474,e,3.6,x,d,n,f,p,,n,4.96,10.52,,,n,,,f,f,,d,a
2475,p,9.16,x,t,y,f,x,c,y,5.08,12.66,,,y,,,f,f,,d,a
2476,e,11.51,s,,g,f,s,c,u,6.51,20.41,,,b,,,f,f,,l,w
2477,p,3.09,o,,k,f,f,f,f,4.13,15.92,,g,n,,,f,f,,d,a
2478,p,8.47,x,,n,t,x,,u,8.72,18.77,s,,g,,u,f,f,,d,u
2479,e,15.36,x,s,e,f,d,d,w,9.8,17.94,,,w,,,t,,w,d,u
2480,e,7.31,f,e,b,f,,c,b,4.85,19.27,,,w,,,f,f,,d,a
2481,p,8.36,x,y,y,f,a,c,n,9.53,10.56,,y,n,,,t,,,d,u
2482,e,4.89,c,,g,f,f,f,f,5.31,19.08,,,n,,,f,f,,d,s
2483,e,14.05,f,s,e,f,d,d,w,9.84,18.38,,i,n,,,t,,w,d,u
2484,e,7.89,x,d,y,t,p,,y,7.42,13.78,,,y,,,f,f,,d,a
2485,e,3.42,x,d,p,f,a,c,e,4.23,6.3,,,o,,,f,f,,m,w
2486,p,8.19,x,w,p,f,s,c,p,4.89,10.34,,,p,,,f,f,,d,a
2487,p,7.31,o,k,y,f,,c,o,1.47,15.97,,,y,,,f,f,,d,w
2488,p,4.16,f,l,e,f,x,d,n,5.97,5.41,,,n,,,f,f,,l,a
2489,e,6.43,f,i,n,f,e,c,p,4.54,11.28,,,w,,,t,r,,w,a
2490,e,1.03,b,g,g,f,,,g,3.29,1.58,,,w,,,f,f,,d,s
2491,p,8.78,s,,y,t,d,,o,4.96,12.83,,,w,,,t,f,,d,u
2492,e,7.06,s,,n,f,d,c,w,5.5,8.87,,s,w,,,f,f,,h,u
2493,e,7.66,x,,n,t,p,,g,11.98,25.61,,y,w,,,f,f,,d,u
2494,p,1.77,b,,n,f,a,,g,4.87,1.98,,s,n,,,f,f,,d,a
2495,p,3.21,f,y,n,f,e,c,w,4.77,3.63,,k,w,,,t,e,,m,u
2496,e,10.02,p,y,n,t,e,,p,8.75,17.44,,y,w,,,t,p,,l,a
2497,p,5.32,s,d,e,t,d,c,n,5.64,7.36,,,n,,,f,f,,d,a
2498,p,7.17,x,t,e,f,x,d,w,5.81,17.54,b,,w,,,f,f,,d,u
2499,p,2.87,c,,w,f,a,c,n,3.8,3.5,,i,u,,,f,f,,d,a
2500,e,8.43,x,h,n,t,p,,y,7.38,15.81,,,y,,,f,f,,d,u
2501,e,5.79,x,s,o,f,p,,n,5.34,11.31,,,n,,,f,f,,d,u
2502,p,8.12,x,y,w,t,,,w,8.36,15.85,s,,w,,,t,l,,g,u
2503,e,5.93,x,s,o,f,p,,n,6.16,11.9,,,e,,,f,f,,d,a
2504,e,4.64,x,,n,f,x,c,w,8.08,8.89,b,,w,,w,t,,,g,u
2505,p,4.4,f,l,n,f,x,d,n,5.97,4.42,,,n,,,f,f,,d,u
2506,e,11.19,f,,w,f,d,c,w,2.31,13.05,,,w,,,f,f,,d,w
2507,e,7.28,x,y,n,f,e,c,w,6.43,10.52,,y,n,,,f,f,,d,a
2508,e,9.62,p,s,n,t,e,,g,10.45,17.62,,,w,,,t,r,,m,u
2509,e,4.59,x,t,n,f,d,,o,5.31,6.88,,t,w,,,f,f,,d,a
2510,p,7.67,p,g,n,f,e,,w,7.52,14.29,,y,w,u,w,t,p,,d,a
2511,e,14.59,x,y,n,t,e,,w,8.88,18.35,,,w,,,t,,,g,a
2512,p,5.46,s,d,y,f,d,c,y,3.27,7.2,,,o,,,f,f,,h,u
2513,e,7.28,x,,n,f,x,c,w,6.12,13.42,,s,w,,,f,f,,d,a
2514,e,8.64,x,e,y,f,x,c,w,8.06,22.06,,,w,,,f,f,,d,u
2515,p,2.28,p,t,n,f,a,c,n,7.0,2.64,,t,y,,,t,e,,m,a
2516,p,6.41,f,t,y,f,x,c,y,6.47,16.74,,,y,,,f,f,,d,a
2517,e,12.63,x,t,n,t,p,,y,8.44,22.92,,,n,,,f,f,,d,a
2518,e,1.09,x,g,n,t,a,,w,4.82,1.02,,,n,,,f,f,,d,u
2519,e,5.82,f,y,g,f,s,,g,5.74,10.16,,,w,,,f,f,,d,a
2520,p,9.53,x,y,n,f,a,c,y,12.22,12.77,,y,y,,,t,,,d,u
2521,e,6.68,x,d,y,t,p,,r,6.21,12.75,,,y,,,f,f,,d,u
2522,p,1.72,b,,g,f,a,,g,5.35,2.12,,s,g,,,f,f,,d,u
2523,p,4.03,x,h,n,f,a,c,n,4.81,6.31,,y,o,,,t,z,,d,a
2524,p,1.5,b,h,n,f,a,,n,3.99,1.34,,t,n,,,f,f,,g,s
2525,e,9.03,x,s,k,f,a,c,w,4.84,18.03,,,w,,,f,f,,d,a
2526,e,9.83,s,s,u,f,x,,n,7.45,24.22,,,p,,,f,f,,d,w
2527,e,6.02,b,h,k,f,s,d,w,4.39,9.29,,s,g,,,f,f,,d,u
2528,p,6.58,x,s,r,t,s,d,r,5.08,12.09,,i,n,,,f,f,,d,a
2529,p,4.41,f,l,e,f,x,d,y,6.18,4.83,,,n,,,f,f,,l,a
2530,p,3.89,b,t,n,f,x,c,p,4.91,3.52,,,n,,,f,f,,d,a
2531,e,6.78,x,s,n,f,e,c,w,6.43,10.44,,i,n,,,f,f,p,d,w
2532,e,9.81,f,s,y,f,a,d,w,10.01,16.12,,i,n,,w,t,,w,d,w
2533,e,3.13,x,,r,f,a,,r,4.74,6.43,,,r,,,f,f,,l,a
2534,p,20.41,x,d,n,f,p,,y,5.88,38.43,,,n,,,f,f,,d,w
2535,p,3.1,x,d,w,f,d,d,w,2.8,2.33,,h,w,,,f,f,,g,u
2536,p,8.52,p,y,n,f,,,k,14.63,15.93,,,w,,,f,f,,d,a
2537,p,6.2,x,d,n,t,d,c,n,7.65,10.42,,,e,,,f,f,,d,a
2538,e,3.36,s,d,g,t,d,c,p,3.88,6.19,,,g,,,f,f,,d,a
2539,e,1.55,c,g,n,f,a,,w,4.75,1.46,,,g,,,f,f,,d,a
2540,p,10.76,x,,n,f,p,,w,10.34,29.46,c,,n,,,f,f,p,d,u
2541,p,5.61,x,,w,f,,c,r,2.99,12.51,,,y,,,f,f,,d,a
2542,e,6.43,b,h,g,f,s,d,g,4.99,10.18,,s,g,,,f,f,,d,a
2543,e,8.13,f,s,k,f,a,c,w,4.24,15.49,,,w,,,f,f,,d,a
2544,p,1.66,o,k,n,f,,,n,3.63,1.39,,,n,,,f,f,,d,a
2545,p,2.86,b,d,y,f,a,,r,5.46,5.84,,t,y,,,f,f,,d,u
2546,p,6.31,x,g,n,f,e,,w,7.83,14.43,,y,w,u,w,t,p,,d,a
2547,p,12.32,x,,n,f,e,,w,11.1,14.57,,,w,u,w,t,g,,d,a
2548,p,5.6,x,,y,f,s,d,y,3.16,11.66,,i,y,,,f,f,,d,a
2549,p,10.43,x,,w,f,e,,w,10.84,12.37,,,w,u,w,t,e,,d,a
2550,e,10.07,p,t,n,t,p,,y,9.55,22.84,,,n,,,f,f,,d,a
2551,p,3.03,o,,g,f,f,f,f,3.25,14.33,,g,n,,,f,f,,d,s
2552,p,2.18,p,t,n,f,a,c,g,6.37,2.66,,t,y,,,t,e,,m,u
2553,e,4.17,s,d,u,t,d,c,p,4.6,6.23,,,g,,,f,f,,d,u
2554,p,1.83,c,h,n,f,,,n,7.01,2.84,,,y,,,f,f,,g,a
2555,e,8.65,o,,n,f,,,w,3.66,18.0,,,n,,,f,f,,d,a
2556,e,1.41,x,w,n,f,,d,g,5.08,2.51,,,w,,,f,f,,d,s
2557,p,3.77,x,y,n,f,a,,w,5.67,3.4,,y,y,,,t,r,,d,a
2558,p,3.62,b,t,n,f,x,c,p,5.55,4.43,,i,n,,,f,f,,m,u
2559,e,10.99,f,e,b,f,,c,b,5.03,19.84,,,w,,,t,f,,d,a
2560,e,12.07,x,h,n,t,p,,y,8.16,22.52,,,n,,,f,f,,d,u
2561,p,3.41,o,,w,f,f,f,f,5.52,27.5,,g,w,,,t,f,,d,u
2562,p,2.47,x,g,n,f,a,,w,6.81,2.5,,,w,,,f,f,,d,u
2563,p,11.53,f,,n,f,e,,w,11.03,13.16,,,w,u,w,t,g,,d,u
2564,p,1.45,b,,n,f,a,,g,4.66,1.98,,s,g,,,f,f,,d,u
2565,p,6.14,x,i,y,f,a,c,n,7.05,7.87,,i,n,,k,t,z,k,d,a
2566,p,2.22,p,t,n,f,a,c,n,7.86,2.47,,t,y,,,t,e,,m,u
2567,p,5.87,f,,y,f,s,d,y,5.86,12.39,,i,y,,,f,f,,d,a
2568,p,15.88,f,d,n,f,d,c,y,5.77,38.13,,k,n,,,f,f,,d,u
2569,p,8.61,f,,y,f,x,c,y,7.05,12.48,,,w,,,f,f,,d,u
2570,e,9.05,x,s,n,f,e,c,w,6.12,9.34,,i,w,,,f,f,p,d,a
2571,p,1.14,x,g,w,f,a,d,w,3.4,1.69,,,n,,,f,f,,d,u
2572,p,4.31,f,k,w,f,s,,p,2.88,3.2,,,n,,,f,f,p,g,u
2573,e,7.79,f,y,n,f,,,w,5.82,25.0,b,,n,,w,t,e,,d,a
2574,p,6.87,x,t,n,f,x,c,y,4.87,15.13,,,y,,,f,f,,d,a
2575,e,2.57,b,y,n,f,,c,n,5.4,2.86,,,w,,,f,f,,d,u
2576,p,4.1,f,l,n,f,x,d,e,6.78,5.27,,,n,,,f,f,,d,a
2577,e,7.67,x,d,e,t,p,,r,5.5,11.9,,,e,,,f,f,,d,a
2578,e,9.94,x,t,n,t,p,,y,7.63,17.54,,,n,,w,t,p,,d,a
2579,p,1.76,x,i,l,f,a,,w,4.86,2.31,,,w,,,f,f,p,g,a
2580,p,7.21,x,t,e,f,x,d,w,5.69,17.11,b,,w,,,f,f,,d,a
2581,e,3.59,f,d,n,t,d,c,p,4.41,6.86,,,g,,,f,f,,d,u
2582,e,8.3,f,s,p,f,a,c,w,5.21,17.45,,,w,,,f,f,,d,a
2583,e,3.13,b,g,n,f,x,d,w,4.09,2.93,,,y,,,f,f,,g,u
2584,p,3.34,x,k,w,f,s,,p,3.79,3.03,,,n,,,f,f,p,g,a
2585,p,3.45,x,,w,f,x,c,p,8.75,4.58,,,p,,,f,f,,l,a
2586,p,5.95,b,t,w,f,e,c,w,12.18,11.88,,y,w,u,w,t,e,,d,a
2587,e,4.84,f,y,g,f,s,,g,4.97,8.41,,,w,,,f,f,,d,u
2588,p,4.06,b,y,p,f,e,c,w,4.72,3.54,,k,w,,,t,e,,m,a
2589,p,7.89,s,,o,t,d,,o,5.63,12.8,,,w,,,t,f,,d,a
2590,e,1.07,p,g,g,f,,,g,2.73,1.46,,,w,,,f,f,,d,a
2591,e,3.04,b,y,n,f,,c,n,6.59,3.21,,,w,,,f,f,,d,a
2592,e,5.61,x,h,n,f,x,c,w,4.48,6.07,,y,n,,,t,r,,d,a
2593,e,3.24,x,k,n,f,p,,e,4.13,9.58,,,y,,,f,f,,d,a
2594,e,5.52,x,h,n,f,a,d,n,5.6,5.81,,t,w,,,t,l,,d,a
